,dr7objid,t04_spiral_a08_spiral_flag,t04_spiral_a09_no_spiral_flag,t08_odd_feature_a20_lens_or_arc_flag,t08_odd_feature_a22_irregular_flag
159,232134,0,1,0,1
160,90811,1,0,0,0
161,208109,0,1,1,0
162,32731,1,0,0,0
163,10408,0,1,0,0
164,94227,0,1,1,0
165,57297,0,1,1,0
166,164657,0,1,1,0
167,203212,1,0,0,0
168,197809,0,1,0,0
169,230409,1,0,0,1
170,64402,0,1,1,0
171,10384,1,0,0,0
172,7088,0,1,0,0
173,174033,0,1,1,0
174,48117,0,1,1,0
175,52537,0,1,0,0
176,219964,1,0,0,0
177,100489,0,1,1,0
178,213223,0,1,1,0
179,206922,1,0,0,0
180,116327,0,1,0,0
181,28675,0,1,1,0
182,241874,0,1,0,1
183,221298,0,1,0,0
184,196173,0,1,1,0
185,25261,1,0,0,0
186,13731,0,1,0,0
187,187967,1,0,0,0
188,20415,0,1,1,0
189,12032,0,1,1,0
190,241801,1,0,0,1
191,215165,1,0,0,0
192,101021,0,1,0,0
193,43980,0,1,1,0
194,179843,0,1,1,0
195,51199,0,1,0,0
196,92110,1,0,0,0
197,68434,0,1,1,0
198,33182,0,1,0,0
199,88071,1,0,0,0
200,295290,0,1,0,1
201,162112,0,1,0,0
202,89174,0,1,1,0
203,253690,1,0,0,0
204,69561,0,1,0,0
205,230681,0,1,1,0
206,80133,0,1,0,0
207,119530,1,0,0,0
208,127102,0,1,0,0
209,16027,0,1,1,0
210,271702,0,1,0,0
211,241500,1,0,0,0
212,125703,0,1,1,0
213,150538,0,1,0,0
214,17280,0,1,1,0
215,161913,1,0,0,0
216,226250,0,1,1,0
217,49025,0,1,0,0
218,96068,0,1,0,0
219,163575,1,0,0,0
220,47510,0,1,1,0
221,130583,0,1,1,0
222,16984,0,1,0,0
223,124497,1,0,0,0
224,105387,0,1,1,0
225,92435,0,1,0,0
226,27468,0,1,1,0
227,185469,1,0,0,0
228,53800,0,1,1,0
229,80782,0,1,0,0
230,288149,1,0,0,0
231,277005,0,1,1,0
232,295230,0,1,1,0
233,144041,1,0,0,0
234,90252,0,1,0,0
235,28676,0,1,1,0
236,123073,0,1,1,0
237,243716,1,0,0,0
238,53737,0,1,0,0
239,118213,0,1,1,0
240,97354,1,0,0,0
241,24030,0,1,0,0
242,79683,0,1,0,0
243,97119,1,0,0,0
244,110255,0,1,1,0
245,71982,0,1,0,1
246,55025,0,1,1,0
247,35922,0,1,1,0
248,16038,0,1,0,0
249,36353,1,0,0,0
250,115047,0,1,0,0
251,131616,0,1,1,0
252,8949,1,0,0,0
253,123084,0,1,1,0
254,160284,0,1,0,0
255,145183,1,0,0,0
256,88571,0,1,1,0
257,32248,0,1,0,0
258,45643,0,1,1,0
259,46421,0,1,1,0
260,139764,0,1,1,0
261,195177,1,0,0,0
262,122469,0,1,1,0
263,225730,0,0,0,1
264,42179,0,1,1,0
265,49778,0,1,1,0
266,31548,0,1,0,0
267,178458,1,0,0,0
268,144843,0,1,1,0
269,77417,0,1,1,0
270,155406,0,1,0,0
271,73797,0,1,1,0
272,154048,0,1,1,0
273,21922,1,0,0,0
274,227382,0,1,0,0
275,41746,0,0,0,1
276,239039,0,1,1,0
277,222922,1,0,0,0
278,279684,0,1,0,0
279,186023,1,0,0,0
280,55963,0,1,0,0
281,68429,0,1,1,0
282,181115,1,0,0,0
283,27383,0,1,1,0
284,46109,0,1,0,0
285,149491,0,1,1,0
286,114063,1,0,0,0
287,162806,0,1,1,0
288,233573,0,1,1,0
289,163545,1,0,0,0
290,71047,0,1,0,0
291,191991,1,0,0,1
292,108097,0,1,1,0
293,129522,1,0,0,0
294,43630,0,1,0,0
295,171701,0,1,1,0
296,242138,0,1,1,0
297,55912,1,0,0,0
298,179632,0,1,0,0
299,164454,0,1,1,0
300,30760,1,0,0,1
301,125043,0,1,1,0
302,8049,0,1,0,0
303,74927,0,1,1,0
304,68280,1,0,0,0
305,49804,0,1,0,0
306,206158,1,0,0,0
307,35149,0,1,0,0
308,227150,1,0,0,0
309,208877,0,1,0,0
310,228957,0,1,1,0
311,211821,0,1,1,0
312,71694,0,1,1,0
313,135010,1,0,0,0
314,208359,0,1,1,0
315,188175,0,1,1,0
316,58762,0,1,0,0
317,64717,1,0,0,1
318,148424,0,1,1,0
319,155163,1,0,0,0
320,165793,0,1,0,0
321,141241,0,1,1,0
322,91518,0,1,1,0
323,195878,1,0,0,0
324,71372,0,1,0,0
325,53762,1,0,0,0
326,152111,0,1,1,0
327,10762,0,1,0,0
328,212533,0,1,1,0
329,293623,0,1,1,0
330,93199,0,1,1,0
331,150953,1,0,0,1
332,194874,0,1,0,0
333,188090,1,0,0,0
334,210183,1,0,0,0
335,73459,0,1,0,0
336,7160,0,1,0,0
337,142460,0,1,1,0
338,235355,1,0,0,0
339,116458,0,1,1,0
340,220424,0,1,0,0
341,233911,1,0,0,0
342,154019,0,1,0,0
343,35767,1,0,0,0
344,241548,0,1,0,0
345,172163,1,0,0,0
346,175696,0,1,0,0
347,219560,0,1,1,0
348,125047,1,0,0,0
349,121498,0,1,1,0
350,145495,0,1,0,0
351,281514,0,1,0,0
352,168097,1,0,0,0
353,228569,0,1,1,0
354,168753,1,0,0,0
355,28501,0,1,1,0
356,239452,0,1,0,0
357,44975,1,0,0,0
358,160939,1,0,0,0
359,191342,0,1,0,0
360,132708,0,1,0,1
361,160066,0,1,1,0
362,46823,1,0,0,0
363,189296,0,1,1,0
364,280892,0,1,0,0
365,190609,1,0,0,0
366,125468,0,1,0,0
367,264842,1,0,0,0
368,107456,0,1,1,0
369,163936,0,1,0,0
370,214186,0,1,1,0
371,8409,0,1,1,0
372,6931,1,0,0,1
373,172205,1,0,0,0
374,208925,0,1,0,0
375,130187,1,0,0,0
376,177187,0,1,0,0
377,112687,1,0,0,0
378,67922,0,1,0,0
379,66921,0,1,0,0
380,90628,1,0,0,0
381,73385,0,1,0,0
382,235853,1,0,0,0
383,173024,0,1,1,0
384,6585,0,1,0,0
385,185746,1,0,0,0
386,149206,0,1,0,0
387,200120,1,0,0,0
388,114281,0,1,0,0
389,88989,0,1,1,0
390,127840,1,0,0,0
391,230621,0,1,0,0
392,83629,1,0,0,0
393,39544,0,1,0,0
394,124672,0,1,0,1
395,159917,0,1,0,0
396,245918,1,0,0,0
397,208322,0,1,0,0
398,158044,1,0,0,0
399,185822,0,1,0,0
400,253312,1,0,0,0
401,52691,0,1,1,0
402,73736,0,1,0,0
403,60448,0,1,1,0
404,73963,1,0,0,0
405,234510,0,1,0,0
406,214395,1,0,0,0
407,232809,1,0,0,0
408,7949,0,1,0,0
409,74099,0,1,1,0
410,217613,1,0,0,0
411,188597,0,1,0,0
412,129239,0,1,1,0
413,171971,0,1,1,0
414,123693,0,1,0,0
415,234642,1,0,0,0
416,54606,1,0,0,0
417,92769,0,1,0,0
418,285341,1,0,0,0
419,233647,0,1,0,0
420,55282,0,1,1,0
421,21110,0,0,0,1
422,4021,1,0,0,0
423,35596,0,0,0,1
424,81794,0,1,0,0
425,48775,1,0,0,0
426,5272,0,1,1,0
427,201410,0,1,1,0
428,163497,0,1,0,0
429,57044,1,0,0,0
430,179441,0,1,0,0
431,69308,0,1,1,0
432,128594,1,0,0,0
433,85189,0,1,1,0
434,220959,0,1,1,0
435,48653,0,1,0,0
436,24692,1,0,0,0
437,60857,1,0,0,1
438,215894,0,1,1,0
439,33302,1,0,0,0
440,139517,0,1,0,0
441,133768,0,1,1,0
442,284677,1,0,0,0
443,53927,0,1,0,0
444,47467,0,1,0,0
445,164123,0,1,1,0
446,99595,1,0,0,0
447,182366,0,1,0,0
448,73699,0,1,1,0
449,18952,0,1,1,0
450,290406,1,0,0,0
451,203109,0,1,0,1
452,18215,0,1,0,0
453,82770,1,0,0,0
454,178667,0,1,1,0
455,8878,0,1,0,0
456,233793,0,1,1,0
457,45214,0,1,1,0
458,63015,1,0,0,0
459,22188,0,1,1,0
460,80343,0,1,1,0
461,18004,0,1,0,0
462,123359,0,1,1,0
463,95961,1,0,0,0
464,222593,0,1,0,0
465,35589,0,1,1,0
466,18307,1,0,0,0
467,81790,1,0,0,1
468,56668,0,1,0,0
469,180070,1,0,0,0
470,85058,0,1,1,0
471,128682,0,1,0,0
472,107678,0,1,1,0
473,112947,0,1,1,0
474,285990,1,0,0,0
475,93960,0,1,0,0
476,59465,1,0,0,0
477,181782,0,1,0,0
478,165531,0,1,1,0
479,1824,0,1,1,0
480,42156,1,0,0,0
481,30415,0,1,0,0
482,102828,0,1,1,0
483,232454,1,0,0,0
484,20816,0,1,0,0
485,162474,0,1,1,0
486,178744,1,0,0,0
487,194664,0,1,1,0
488,281287,0,1,0,0
489,217587,0,0,0,1
490,45853,1,0,0,0
491,81353,0,1,0,0
492,138450,1,0,0,0
493,91201,0,1,0,0
494,121302,0,1,0,0
495,44906,1,0,0,0
496,65941,0,1,1,0
497,149693,0,1,0,0
498,199543,1,0,0,0
499,91140,0,1,1,0
500,178962,0,1,0,0
501,208674,1,0,0,0
502,211170,1,0,0,1
503,123811,1,0,0,0
504,234218,0,1,0,0
505,204357,1,0,0,0
506,65050,0,1,0,0
507,154860,0,1,1,0
508,160765,1,0,0,0
509,157540,0,1,0,0
510,149133,1,0,0,1
511,195488,1,0,0,0
512,192750,0,1,1,0
513,128588,0,1,0,0
514,179870,1,0,0,0
515,144152,0,1,1,0
516,2751,0,1,0,0
517,131447,1,0,0,0
518,165383,0,1,1,0
519,176481,0,1,0,0
520,106959,1,0,0,0
521,174281,0,1,0,0
522,707,1,0,0,0
523,85047,0,1,0,0
524,116911,0,1,1,0
525,148332,0,1,0,1
526,86361,0,1,1,0
527,245211,1,0,0,0
528,110559,0,1,1,0
529,91392,0,1,0,0
530,288292,0,1,1,0
531,130125,0,1,1,0
532,160776,0,1,0,0
533,188347,1,0,0,0
534,170863,0,1,1,0
535,110014,0,1,1,0
536,21927,0,1,0,0
537,37062,0,1,1,0
538,105721,1,0,0,0
539,31857,0,1,0,0
540,269683,1,0,0,0
541,91014,1,0,0,1
542,144973,0,1,1,0
543,28446,0,1,0,0
544,8955,1,0,0,0
545,172491,0,1,1,0
546,171103,0,1,0,0
547,97142,1,0,0,0
548,82229,0,1,1,0
549,26343,1,0,0,0
550,104084,0,1,0,0
551,69436,0,1,1,0
552,42078,0,1,1,0
553,110846,1,0,0,0
554,155957,0,1,0,0
555,45185,0,1,0,0
556,85562,1,0,0,0
557,76705,1,0,0,0
558,204342,0,1,0,0
559,78876,0,1,0,0
560,58466,1,0,0,0
561,12245,0,1,1,0
562,175637,0,1,0,0
563,225596,1,0,0,0
564,97303,0,1,1,0
565,132370,0,1,1,0
566,182315,0,1,1,0
567,155210,0,1,0,0
568,151482,0,1,1,0
569,26557,0,1,0,0
570,257887,1,0,0,0
571,194525,0,1,1,0
572,210698,0,1,1,0
573,10259,0,1,1,0
574,137384,1,0,0,0
575,126978,0,1,0,0
576,7417,0,1,1,0
577,17596,0,1,1,0
578,126966,0,1,1,0
579,175513,0,1,1,0
580,85570,0,1,0,0
581,70516,1,0,0,0
582,139067,0,1,1,0
583,207951,0,1,0,1
584,157078,0,1,1,0
585,184825,0,1,0,0
586,99927,1,0,0,0
587,250087,1,0,0,1
588,86760,0,1,1,0
589,52649,0,1,1,0
590,67809,1,0,0,0
591,193649,0,1,0,0
592,191188,0,1,0,0
593,272326,1,0,0,0
594,157576,0,0,0,1
595,92667,0,1,1,0
596,150007,0,1,0,0
597,219790,0,1,1,0
598,17376,1,0,0,0
599,85462,0,1,0,0
600,194109,0,1,1,0
601,176779,1,0,0,0
602,38725,0,1,0,0
603,216500,0,1,1,0
604,224933,0,1,1,0
605,167614,1,0,0,0
606,236648,0,1,0,0
607,76415,0,1,1,0
608,218104,1,0,0,0
609,88151,0,1,0,0
610,15206,0,1,0,0
611,1213,0,1,1,0
612,68230,0,1,1,0
613,114874,1,0,0,0
614,199337,0,1,0,0
615,109939,1,0,0,0
616,50319,0,1,0,0
617,54637,0,1,1,0
618,209589,1,0,0,0
619,111596,0,1,0,0
620,197721,0,1,1,0
621,145529,0,1,0,0
622,74520,0,1,1,0
623,72231,1,0,0,0
624,188469,0,1,0,0
625,123159,1,0,0,1
626,123984,0,1,1,0
627,102722,1,0,0,0
628,125379,0,1,0,0
629,260791,1,0,0,0
630,189211,0,1,1,0
631,221854,0,1,0,0
632,49605,1,0,0,0
633,35541,0,1,1,0
634,160538,0,1,0,0
635,65079,1,0,0,0
636,16614,0,1,1,0
637,123220,0,1,0,1
638,124340,0,1,0,0
639,282874,1,0,0,0
640,91226,0,1,0,0
641,45552,1,0,0,0
642,63696,0,1,1,0
643,102574,0,1,1,0
644,36415,0,0,0,1
645,97232,0,1,0,0
646,271694,1,0,0,0
647,166597,0,1,1,0
648,130130,0,1,0,0
649,256619,1,0,0,0
650,58730,0,1,1,0
651,141198,0,1,0,0
652,197434,1,0,0,0
653,148141,0,1,0,0
654,23221,1,0,0,0
655,23251,0,1,1,0
656,85102,1,0,0,0
657,15835,0,1,0,0
658,167291,0,1,1,0
659,205545,0,1,1,0
660,112778,1,0,0,0
661,203974,0,1,1,0
662,36400,0,1,0,0
663,176165,0,1,1,0
664,140749,0,1,1,0
665,233268,1,0,0,0
666,206279,0,1,1,0
667,44105,0,1,0,0
668,49809,1,0,0,0
669,198162,0,1,0,0
670,238117,1,0,0,0
671,105636,1,0,0,1
672,119918,0,1,0,0
673,222073,0,1,1,0
674,95020,0,1,1,0
675,243801,1,0,0,0
676,30801,0,1,1,0
677,100818,0,1,0,0
678,37537,1,0,0,0
679,225133,0,1,1,0
680,184072,0,1,0,0
681,83797,1,0,0,0
682,223984,0,1,0,0
683,125617,0,1,0,0
684,212009,1,0,0,0
685,11606,0,1,1,0
686,177670,1,0,0,0
687,181745,0,1,0,0
688,115211,0,1,1,0
689,216058,1,0,0,0
690,64806,0,1,0,0
691,176136,1,0,0,1
692,47982,1,0,0,0
693,143841,0,1,0,0
694,92529,1,0,0,0
695,91472,0,1,0,0
696,143646,0,1,1,0
697,124684,1,0,0,0
698,205698,0,1,0,0
699,260602,1,0,0,0
700,148869,0,1,0,0
701,60026,1,0,0,0
702,191556,0,1,0,0
703,166572,1,0,0,0
704,293478,0,1,0,0
705,53041,0,1,1,0
706,288605,1,0,0,0
707,207197,0,1,1,0
708,197180,0,1,1,0
709,210185,1,0,0,0
710,287626,0,1,0,0
711,229667,0,1,1,0
712,117403,0,1,1,0
713,141184,0,1,0,0
714,176101,0,1,1,0
715,56495,1,0,0,0
716,220654,1,0,0,0
717,635,0,1,0,0
718,258690,1,0,0,0
719,225581,0,1,0,0
720,187009,0,1,0,0
721,125323,1,0,0,0
722,133268,0,1,0,0
723,170286,1,0,0,0
724,283802,0,1,1,0
725,238793,0,1,0,0
726,224304,0,1,1,0
727,73803,0,1,1,0
728,92997,1,0,0,0
729,51579,0,1,1,0
730,22883,0,1,0,0
731,201264,0,1,1,0
732,122087,0,1,1,0
733,56767,1,0,0,0
734,91296,0,1,1,0
735,133471,0,1,0,0
736,136726,1,0,0,0
737,26727,0,1,0,0
738,128493,1,0,0,0
739,81048,0,1,1,0
740,96495,1,0,0,0
741,80094,0,1,1,0
742,88273,0,1,1,0
743,121419,0,1,1,0
744,23937,0,1,0,0
745,116716,1,0,0,0
746,48859,0,1,1,0
747,153346,0,1,0,0
748,223491,1,0,0,0
749,36505,0,1,1,0
750,259658,1,0,0,0
751,229505,0,1,0,0
752,100107,1,0,0,0
753,162717,0,1,0,1
754,133438,0,1,1,0
755,142985,0,1,0,0
756,208694,1,0,0,0
757,96630,0,0,0,1
758,142914,0,1,0,0
759,20727,0,1,1,0
760,102676,1,0,0,0
761,128676,0,1,0,0
762,220272,1,0,0,0
763,45529,0,1,1,0
764,98114,0,1,0,0
765,37329,0,1,1,0
766,97290,0,1,1,0
767,114048,1,0,0,0
768,205588,0,1,0,0
769,21685,1,0,0,0
770,211137,0,1,1,0
771,173999,0,1,1,0
772,271010,0,1,0,0
773,135774,1,0,0,0
774,194204,0,1,0,0
775,97332,1,0,0,0
776,128377,0,1,0,1
777,161169,0,1,0,0
778,64644,0,1,1,0
779,106192,1,0,0,0
780,85249,0,1,1,0
781,154904,0,1,1,0
782,176902,0,1,0,0
783,16152,0,1,1,0
784,220249,1,0,0,0
785,66407,0,1,1,0
786,51644,0,1,1,0
787,150548,0,1,1,0
788,242076,1,0,0,0
789,93510,0,1,1,0
790,201780,0,1,0,0
791,161637,1,0,0,0
792,84265,0,1,0,0
793,126024,0,1,1,0
794,141732,0,1,1,0
795,27787,0,0,0,1
796,144709,1,0,0,0
797,132338,0,1,0,0
798,196531,1,0,0,0
799,70690,0,1,1,0
800,170181,0,1,0,0
801,234641,0,1,1,0
802,64157,1,0,0,0
803,133767,0,1,1,0
804,72035,0,1,0,0
805,174553,1,0,0,1
806,226581,0,1,0,0
807,182412,1,0,0,0
808,125741,0,1,1,0
809,241606,0,1,0,0
810,125314,1,0,0,0
811,281044,0,1,1,0
812,118400,0,1,1,0
813,26163,0,1,1,0
814,7342,0,1,0,0
815,180906,0,1,1,0
816,132018,1,0,0,0
817,83337,1,0,0,1
818,33878,0,1,0,0
819,230855,1,0,0,0
820,116587,0,1,1,0
821,204954,0,1,1,0
822,215114,1,0,0,0
823,130743,0,1,0,0
824,276994,1,0,0,0
825,210676,0,1,1,0
826,64855,0,1,1,0
827,154692,0,1,0,1
828,88555,0,1,0,0
829,10487,0,1,1,0
830,142918,1,0,0,0
831,141736,0,1,1,0
832,175192,0,1,0,0
833,59644,1,0,0,0
834,92907,0,1,1,0
835,80611,0,1,0,0
836,194476,1,0,0,0
837,123201,0,1,1,0
838,122154,0,1,0,0
839,107563,0,1,1,0
840,61328,1,0,0,0
841,35020,0,1,1,0
842,72852,0,1,0,0
843,55506,1,0,0,0
844,157144,0,1,0,0
845,168,1,0,0,0
846,137584,0,1,1,0
847,108532,0,1,0,0
848,61286,1,0,0,0
849,277473,0,1,0,0
850,38907,0,1,1,0
851,135095,1,0,0,0
852,231278,0,1,1,0
853,290642,0,1,1,0
854,50150,0,1,0,0
855,119864,1,0,0,1
856,79589,1,0,0,0
857,48488,0,1,1,0
858,220277,0,1,0,0
859,237595,0,1,1,0
860,70036,1,0,0,0
861,251548,0,1,1,0
862,239272,0,1,1,0
863,194979,0,1,0,1
864,27837,1,0,0,0
865,150586,0,1,0,0
866,274932,1,0,0,0
867,101490,0,1,1,0
868,69247,0,1,0,0
869,167588,0,1,0,0
870,73970,1,0,0,0
871,40165,1,0,0,0
872,114633,0,1,0,0
873,41363,1,0,0,0
874,206983,0,1,0,0
875,235242,0,1,1,0
876,199404,0,1,1,0
877,83575,0,1,1,0
878,117788,1,0,0,0
879,89662,0,1,0,0
880,181323,0,1,1,0
881,159484,0,1,0,0
882,23371,1,0,0,0
883,183770,1,0,0,1
884,117811,0,1,1,0
885,159350,0,1,0,0
886,233297,0,1,1,0
887,153598,0,1,1,0
888,15224,1,0,0,0
889,215637,0,1,0,0
890,81779,0,1,1,0
891,112950,0,0,0,1
892,99829,0,1,1,0
893,215608,0,1,1,0
894,134644,1,0,0,0
895,99841,0,1,0,0
896,134301,1,0,0,0
897,166619,0,1,0,0
898,66547,1,0,0,0
899,182207,0,1,0,0
900,99336,0,1,1,0
901,145213,1,0,0,0
902,46964,0,1,1,0
903,294475,0,1,1,0
904,233630,0,1,0,0
905,214518,1,0,0,0
906,118849,0,1,1,0
907,46474,0,1,1,0
908,115575,0,0,0,1
909,165753,1,0,0,0
910,244869,0,1,0,0
911,46954,0,1,0,0
912,259901,1,0,0,0
913,265541,0,1,0,0
914,73401,1,0,0,0
915,35432,0,1,0,1
916,205452,0,1,0,0
917,35439,0,1,1,0
918,72491,1,0,0,0
919,20871,0,1,1,0
920,17511,0,1,0,0
921,242507,0,1,1,0
922,87992,1,0,0,0
923,51401,0,1,0,0
924,211585,0,1,1,0
925,130964,1,0,0,0
926,227483,0,1,0,0
927,75765,1,0,0,0
928,222193,0,1,0,0
929,196160,0,1,1,0
930,224884,1,0,0,0
931,67531,0,1,0,0
932,88397,0,1,1,0
933,243636,0,1,1,0
934,140026,0,1,0,0
935,142004,1,0,0,0
936,128300,0,1,1,0
937,280918,0,1,1,0
938,235210,0,1,0,0
939,101039,1,0,0,0
940,256437,1,0,0,1
941,240482,0,1,1,0
942,45757,0,1,1,0
943,106411,1,0,0,0
944,241669,0,1,0,0
945,133082,1,0,0,0
946,49140,0,1,0,1
947,238328,0,1,0,0
948,151845,1,0,0,0
949,127643,0,1,0,0
950,188722,0,1,0,1
951,58617,1,0,0,0
952,224548,0,1,1,0
953,74982,0,1,0,0
954,227234,0,1,1,0
955,64527,1,0,0,0
956,194427,1,0,0,1
957,60837,0,1,0,0
958,8853,1,0,0,0
959,75267,0,1,0,0
960,277146,1,0,0,0
961,234126,0,1,1,0
962,85499,0,1,0,0
963,223098,1,0,0,0
964,221898,0,1,1,0
965,203647,0,1,0,0
966,55519,1,0,0,0
967,99400,0,1,1,0
968,294341,0,1,1,0
969,220282,0,1,0,0
970,118549,1,0,0,0
971,143884,0,1,0,0
972,114440,1,0,0,0
973,86695,0,1,1,0
974,166934,1,0,0,0
975,110822,0,1,0,0
976,123884,1,0,0,0
977,35339,0,1,1,0
978,138486,0,1,0,0
979,115232,0,1,0,1
980,74752,0,1,1,0
981,10993,0,1,1,0
982,177103,1,0,0,0
983,124307,0,1,1,0
984,137016,0,1,1,0
985,60587,0,1,1,0
986,21689,0,1,1,0
987,222978,0,1,0,0
988,222379,0,1,1,0
989,128807,1,0,0,0
990,91274,0,1,0,0
991,267542,1,0,0,0
992,119204,0,1,1,0
993,255222,0,1,0,0
994,173307,1,0,0,0
995,267529,0,1,0,0
996,234520,1,0,0,0
997,50883,0,1,1,0
998,32219,0,1,0,0
999,121740,1,0,0,0
1000,74905,0,1,0,1
1001,117618,0,1,0,0
1002,108020,1,0,0,0
1003,194555,1,0,0,1
1004,291598,0,1,1,0
1005,77940,0,1,0,0
1006,116087,1,0,0,0
1007,8111,0,1,0,0
1008,230796,1,0,0,0
1009,161349,0,1,1,0
1010,240713,1,0,0,1
1011,142241,0,1,1,0
1012,92081,0,1,0,0
1013,43639,1,0,0,0
1014,242987,1,0,0,0
1015,239275,0,1,1,0
1016,103603,0,1,0,0
1017,193544,1,0,0,0
1018,162650,0,1,1,0
1019,249611,0,1,0,0
1020,94913,1,0,0,0
1021,20248,0,1,1,0
1022,159480,0,1,0,0
1023,258436,1,0,0,0
1024,9332,1,0,0,0
1025,235307,0,1,0,0
1026,144161,0,1,0,0
1027,251693,1,0,0,0
1028,58768,0,1,1,0
1029,45362,0,1,1,0
1030,120649,0,1,1,0
1031,77849,0,1,0,0
1032,243563,1,0,0,0
1033,73910,0,1,1,0
1034,94101,1,0,0,0
1035,213117,0,1,0,0
1036,30119,0,1,1,0
1037,73861,1,0,0,0
1038,56957,0,1,0,0
1039,45380,1,0,0,0
1040,199989,1,0,0,1
1041,91238,0,1,0,0
1042,213012,1,0,0,0
1043,7713,0,1,1,0
1044,59071,1,0,0,0
1045,24437,0,1,0,0
1046,131295,0,1,1,0
1047,19949,1,0,0,0
1048,57873,0,1,0,0
1049,16924,0,1,0,1
1050,74601,0,1,1,0
1051,194714,0,1,1,0
1052,242546,1,0,0,0
1053,141561,0,1,0,0
1054,122314,0,0,0,1
1055,67988,0,1,1,0
1056,139507,0,1,1,0
1057,18563,1,0,0,0
1058,204807,1,0,0,1
